H,Date,HE,MWh
D,4/8/2011,7,14044.53
D,4/8/2011,8,15110.84
D,4/8/2011,9,15298.9
D,4/8/2011,10,15268.86
D,4/8/2011,11,15267.06
D,4/8/2011,12,15120.28
D,4/8/2011,13,14883.46
D,4/8/2011,14,14766.31
D,4/8/2011,15,14569.08
D,4/8/2011,16,14388.18
D,4/8/2011,17,14374.41
D,4/8/2011,18,14410.7
D,4/8/2011,19,14481.63
D,4/8/2011,20,15059.23
D,4/8/2011,21,15105.19
D,4/8/2011,22,14422.34
D,4/8/2011,23,13280.79
D,4/8/2011,24,12067.26
D,4/9/2011,1,11354.16
D,4/9/2011,2,11125.59
D,4/9/2011,3,11029.52
D,4/9/2011,4,10951.32
D,4/9/2011,5,11046.13
D,4/9/2011,6,11472.45
D,4/9/2011,7,11701.92
D,4/9/2011,8,12577.76
D,4/9/2011,9,13382.35
D,4/9/2011,10,13804.97
D,4/9/2011,11,13889.66
D,4/9/2011,12,13713.94
D,4/9/2011,13,13420.52
D,4/9/2011,14,13092.73
D,4/9/2011,15,12797.78
D,4/9/2011,16,12762.18
D,4/9/2011,17,12914.69
D,4/9/2011,18,13066.71
D,4/9/2011,19,13011.4
D,4/9/2011,20,13609.59
D,4/9/2011,21,13902.22
D,4/9/2011,22,13324.3
D,4/9/2011,23,12394.16
D,4/9/2011,24,11410.98
D,4/10/2011,1,10860.33
D,4/10/2011,2,10824.48
D,4/10/2011,3,10689.73
D,4/10/2011,4,10833.47
D,4/10/2011,5,10879.71
D,4/10/2011,6,10958.06
D,4/10/2011,7,10711.48
D,4/10/2011,8,11565.23
D,4/10/2011,9,12232.52
D,4/10/2011,10,12831.51
D,4/10/2011,11,13079.85
D,4/10/2011,12,13170.14
D,4/10/2011,13,13135.98
D,4/10/2011,14,12929.98
D,4/10/2011,15,12748.4
D,4/10/2011,16,12702.46
D,4/10/2011,17,12879.51
D,4/10/2011,18,13278.1
D,4/10/2011,19,13753.04
D,4/10/2011,20,14523.28
D,4/10/2011,21,14455.08
D,4/10/2011,22,13463.11
D,4/10/2011,23,12326.37
D,4/10/2011,24,11545.04
D,4/11/2011,1,10615.35
D,4/11/2011,2,10522.44
D,4/11/2011,3,10341.2
D,4/11/2011,4,10298.38
D,4/11/2011,5,10596.02
D,4/11/2011,6,11364.53
D,4/11/2011,7,12940.54
D,4/11/2011,8,14353.27
D,4/11/2011,9,14840.86
D,4/11/2011,10,15105.15
D,4/11/2011,11,15337.92
D,4/11/2011,12,15389.47
D,4/11/2011,13,15247.04
D,4/11/2011,14,15164.26
D,4/11/2011,15,14964
D,4/11/2011,16,14793.21
D,4/11/2011,17,14762.43
D,4/11/2011,18,14808.42
D,4/11/2011,19,14827.14
D,4/11/2011,20,15401.39
D,4/11/2011,21,15504.06
D,4/11/2011,22,14426.88
D,4/11/2011,23,13073.84
D,4/11/2011,24,11849.64
D,4/12/2011,1,11151.06
D,4/12/2011,2,10888.81
D,4/12/2011,3,10663.12
D,4/12/2011,4,10575.1
D,4/12/2011,5,10808.97
D,4/12/2011,6,11531.11
D,4/12/2011,7,12779.26
D,4/12/2011,8,14101.9
D,4/12/2011,9,14593.72
D,4/12/2011,10,14842.75
D,4/12/2011,11,15026.59
D,4/12/2011,12,15051.36
D,4/12/2011,13,14975.73
D,4/12/2011,14,14938.62
D,4/12/2011,15,14770.04
D,4/12/2011,16,14611.71
D,4/12/2011,17,14621.26
D,4/12/2011,18,14753.52
D,4/12/2011,19,14897.02
D,4/12/2011,20,15479.8
D,4/12/2011,21,15410.92
D,4/12/2011,22,14388.59
D,4/12/2011,23,12874.67
D,4/12/2011,24,11619.61
D,4/13/2011,1,10898.88
D,4/13/2011,2,10670.75
D,4/13/2011,3,10438.43
D,4/13/2011,4,10394.23
D,4/13/2011,5,10420.36
D,4/13/2011,6,11194.55
D,4/13/2011,7,13234.14
D,4/13/2011,8,14754.97
D,4/13/2011,9,15316.6
D,4/13/2011,10,15608.43
D,4/13/2011,11,15880.6
D,4/13/2011,12,15952.99
D,4/13/2011,13,15866.49
D,4/13/2011,14,15797.73
D,4/13/2011,15,15583.72
D,4/13/2011,16,15444.86
D,4/13/2011,17,15625.6
D,4/13/2011,18,15960.31
D,4/13/2011,19,15983.23
D,4/13/2011,20,16175.12
D,4/13/2011,21,15895.67
D,4/13/2011,22,14868.4
D,4/13/2011,23,13381.78
D,4/13/2011,24,12329.16
D,4/14/2011,1,11813.4
D,4/14/2011,2,11372.54
D,4/14/2011,3,11124.62
D,4/14/2011,4,11076.27
D,4/14/2011,5,11331.79
D,4/14/2011,6,12124.35
D,4/14/2011,7,13716.4
D,4/14/2011,8,14584.86
D,4/14/2011,9,14859.03
D,4/14/2011,10,14958.23
D,4/14/2011,11,15007.11
D,4/14/2011,12,14968.37
D,4/14/2011,13,14786.44
D,4/14/2011,14,14766.08
D,4/14/2011,15,14576.77
D,4/14/2011,16,14392.75
D,4/14/2011,17,14311.67
D,4/14/2011,18,14317.09
D,4/14/2011,19,14282.39
D,4/14/2011,20,14838.71
D,4/14/2011,21,15263.5
D,4/14/2011,22,14402.36
D,4/14/2011,23,12946.84
D,4/14/2011,24,11716.46
D,4/15/2011,1,11239.92
D,4/15/2011,2,11205.9
D,4/15/2011,3,11018.25
D,4/15/2011,4,10994.95
D,4/15/2011,5,11296.32
D,4/15/2011,6,11806.67
D,4/15/2011,7,13077.82
D,4/15/2011,8,14348.07
D,4/15/2011,9,14752.13
D,4/15/2011,10,14872.55
D,4/15/2011,11,14948
D,4/15/2011,12,14861.5
D,4/15/2011,13,14629.36
D,4/15/2011,14,14474.47
D,4/15/2011,15,14227.01
D,4/15/2011,16,13984.27
D,4/15/2011,17,13882.04
D,4/15/2011,18,14045.89
D,4/15/2011,19,13929.15
D,4/15/2011,20,14469.47
D,4/15/2011,21,14869.35
D,4/15/2011,22,14212.81
D,4/15/2011,23,13135.71
D,4/15/2011,24,11979.06
D,4/16/2011,1,11445.14
D,4/16/2011,2,11400.12
D,4/16/2011,3,11152.2
D,4/16/2011,4,11086.52
D,4/16/2011,5,11156.91
D,4/16/2011,6,11271.34
D,4/16/2011,7,11609.58
D,4/16/2011,8,12532.51
D,4/16/2011,9,13273.34
D,4/16/2011,10,13814.98
D,4/16/2011,11,14019.69
D,4/16/2011,12,14052.85
D,4/16/2011,13,13986.66
D,4/16/2011,14,13909.52
D,4/16/2011,15,13837.9
D,4/16/2011,16,13828.64
D,4/16/2011,17,14018.04
D,4/16/2011,18,14414.39
D,4/16/2011,19,14604.36
D,4/16/2011,20,14861.66
D,4/16/2011,21,14671.56
D,4/16/2011,22,13973.96
D,4/16/2011,23,12969.15
D,4/16/2011,24,11929.22
D,4/17/2011,1,11323.39
D,4/17/2011,2,11136.22
D,4/17/2011,3,11233.19
D,4/17/2011,4,10892.43
D,4/17/2011,5,11003.67
D,4/17/2011,6,11207.32
D,4/17/2011,7,11255.16
D,4/17/2011,8,11718.08
D,4/17/2011,9,12411.57
D,4/17/2011,10,12819.35
D,4/17/2011,11,13108.19
D,4/17/2011,12,13269.69
D,4/17/2011,13,13209.71
D,4/17/2011,14,12985.24
D,4/17/2011,15,12714.68
D,4/17/2011,16,12577.49
D,4/17/2011,17,12653.48
D,4/17/2011,18,12909.01
D,4/17/2011,19,13112.15
D,4/17/2011,20,13714.74
D,4/17/2011,21,14117.39
D,4/17/2011,22,13365.05
D,4/17/2011,23,12318.78
D,4/17/2011,24,11245.59
D,4/18/2011,1,10815.92
D,4/18/2011,2,10549.75
D,4/18/2011,3,10344.2
D,4/18/2011,4,10330.86
D,4/18/2011,5,10411.57
D,4/18/2011,6,11256.58
D,4/18/2011,7,12281.96
D,4/18/2011,8,13537.08
D,4/18/2011,9,14303.23
D,4/18/2011,10,14702.64
D,4/18/2011,11,14904.29
D,4/18/2011,12,14895.12
D,4/18/2011,13,14726.09
D,4/18/2011,14,14588.32
D,4/18/2011,15,14364.08
D,4/18/2011,16,14199.56
D,4/18/2011,17,14313.73
D,4/18/2011,18,14505
D,4/18/2011,19,14621.59
D,4/18/2011,20,15029.51
D,4/18/2011,21,15068.11
D,4/18/2011,22,14137.46
D,4/18/2011,23,12808.83
D,4/18/2011,24,11523.37
D,4/19/2011,1,10764.73
D,4/19/2011,2,10415.04
D,4/19/2011,3,10144.88
D,4/19/2011,4,10105.2
D,4/19/2011,5,10247.59
D,4/19/2011,6,10969.68
D,4/19/2011,7,12442.75
D,4/19/2011,8,13804.45
D,4/19/2011,9,14550.58
D,4/19/2011,10,14925.36
D,4/19/2011,11,15226.94
D,4/19/2011,12,15277.07
D,4/19/2011,13,15200.62
D,4/19/2011,14,15113.16
D,4/19/2011,15,14953.3
D,4/19/2011,16,14845.81
