,0
0,0.14569971
1,0.11097123
2,0.1099753
3,0.119909555
4,0.14303985
5,0.18614867
6,0.27750805
7,0.34995618
8,0.38591114
9,0.401811
10,0.4038071
11,0.39883766
12,0.38412428
13,0.37314036
14,0.3584588
15,0.34794575
16,0.35030696
17,0.35784498
18,0.35757717
19,0.39325988
20,0.3494063
21,0.3050283
22,0.2507253
23,0.19552988
24,0.15515259
25,0.13418284
26,0.1319752
27,0.11853485
28,0.1419391
29,0.15850249
30,0.19083911
31,0.21989837
32,0.2658761
33,0.29928875
34,0.3111005
35,0.30439112
36,0.28618062
37,0.26529226
38,0.2457267
39,0.22958995
40,0.22285636
41,0.22574618
42,0.23822379
43,0.3000527
44,0.27752787
45,0.2524747
46,0.20977819
47,0.16287826
48,0.1210982
49,0.107500784
50,0.10281509
51,0.10149634
52,0.10750651
53,0.121138245
54,0.1394102
55,0.16642137
56,0.21539147
57,0.25447685
58,0.27139217
59,0.2694504
60,0.25401825
61,0.23647444
62,0.21898992
63,0.20758006
64,0.21043128
65,0.22171202
66,0.2373828
67,0.22011891
68,0.29791975
69,0.27112117
70,0.2034725
71,0.13376735
72,0.087950006
73,0.07801327
74,0.07290618
75,0.07626155
76,0.1003677
77,0.16304924
78,0.2665167
79,0.34569705
80,0.37390548
81,0.37803677
82,0.36931723
83,0.35362515
84,0.3442848
85,0.34098807
86,0.33353883
87,0.33455038
88,0.34265
89,0.3552044
90,0.3578498
91,0.39140877
92,0.36192864
93,0.30250007
94,0.24024586
95,0.17464155
96,0.14601514
97,0.12222042
98,0.12063297
99,0.116352394
100,0.12912622
101,0.17640075
102,0.24945486
103,0.3137902
104,0.33981675
105,0.34936762
106,0.3542114
107,0.3589353
108,0.3607389
109,0.3451835
110,0.3336848
111,0.32196805
112,0.34043536
113,0.3523959
114,0.35850775
115,0.41242176
116,0.38036174
117,0.33017647
118,0.26305032
119,0.20358533
120,0.15796101
121,0.14100903
122,0.13393846
123,0.13536765
124,0.1468686
125,0.1889075
126,0.27449647
127,0.3430428
128,0.36170438
129,0.36004835
130,0.35204583
131,0.3408652
132,0.32514387
133,0.31152594
134,0.30055103
135,0.28999677
136,0.29190087
137,0.30445194
138,0.31615454
139,0.3312989
140,0.34415156
141,0.29805458
142,0.2199447
143,0.15679573
144,0.12034324
145,0.104341134
146,0.10690704
147,0.11199053
148,0.13602462
149,0.17873934
150,0.2682704
151,0.35030162
152,0.38401836
153,0.3791319
154,0.36512548
155,0.34923524
156,0.32984427
157,0.31608802
158,0.29895473
159,0.28390196
160,0.2765028
161,0.27569258
162,0.27553958
163,0.31590027
164,0.3274724
165,0.2872042
166,0.21967775
167,0.1513421
168,0.11870684
169,0.1163152
170,0.114350006
171,0.13508375
172,0.15177172
173,0.20787302
174,0.28260928
175,0.34554213
176,0.37539592
177,0.37170035
178,0.35526913
179,0.3371428
180,0.32024196
181,0.30460125
182,0.28723848
183,0.27346176
184,0.26767367
185,0.26949108
186,0.27312535
187,0.31030163
188,0.3025381
189,0.26807708
190,0.21011765
191,0.14956243
192,0.10861814
193,0.09617575
194,0.099440545
195,0.10171955
196,0.11049348
197,0.13684505
198,0.15622312
199,0.20596457
200,0.26496643
201,0.3006057
202,0.30555645
203,0.28952003
204,0.2677342
205,0.23587738
206,0.21203724
207,0.19961455
208,0.20887005
209,0.21520157
210,0.21162613
211,0.22323997
212,0.2570251
213,0.2347293
214,0.18507211
215,0.12991923
216,0.09468457
217,0.091799624
218,0.09105047
219,0.10213296
220,0.10863001
221,0.11659451
222,0.107838966
223,0.1469087
224,0.19329733
225,0.22734432
226,0.23617885
227,0.23500785
228,0.23259808
229,0.21835813
230,0.20043322
231,0.19321993
232,0.20020238
233,0.2171786
234,0.2402906
235,0.24569404
236,0.28139144
237,0.2414433
238,0.17143515
239,0.12061775
240,0.067033276
241,0.060817093
242,0.06510089
243,0.074154556
244,0.091515586
245,0.13206775
246,0.2120884
247,0.29481384
248,0.3271695
249,0.3401818
250,0.3497392
251,0.35054782
252,0.34510025
253,0.33946654
254,0.32815522
255,0.31030968
256,0.30079722
257,0.2948754
258,0.2901777
259,0.3441308
260,0.32577336
261,0.27203655
262,0.20238234
263,0.14032489
264,0.10504053
265,0.0960954
266,0.09435639
267,0.108471915
268,0.13227743
269,0.16916828
270,0.22716394
271,0.29436255
272,0.3233094
273,0.3285769
274,0.3279023
275,0.32595155
276,0.32003388
277,0.31936085
278,0.3050761
279,0.2885068
280,0.28296524
281,0.29021955
282,0.29347628
283,0.28578556
284,0.32571018
285,0.2825743
286,0.1987834
287,0.13426849
288,0.0963368
289,0.08909683
290,0.08219222
291,0.07933603
292,0.08121529
293,0.12024291
294,0.22640732
295,0.31092563
296,0.3423655
297,0.3547812
298,0.3618257
299,0.3644359
300,0.3611371
301,0.3539746
302,0.339714
303,0.33223978
304,0.33765072
305,0.3557216
306,0.36106095
307,0.41797715
308,0.35910344
309,0.29958582
310,0.22137548
311,0.16553874
312,0.14200932
313,0.12356856
314,0.11855744
315,0.1201307
316,0.13584289
317,0.17485356
318,0.25782764
319,0.31521904
320,0.34461468
321,0.34830332
322,0.34607556
323,0.33676815
324,0.3244307
325,0.3150875
326,0.303761
327,0.29360944
328,0.2912984
329,0.28555456
330,0.27595946
331,0.28855848
332,0.31195927
333,0.27820456
334,0.20871605
335,0.14056987
336,0.11225906
337,0.11470619
338,0.113191485
339,0.11641656
340,0.13311091
341,0.1600702
342,0.22274196
343,0.29740226
344,0.3278802
345,0.3315551
346,0.32515168
347,0.31682667
348,0.30258542
349,0.28873438
350,0.27395922
351,0.26049066
352,0.2544495
353,0.25721762
354,0.24981238
355,0.25017157
356,0.29464498
357,0.27555162
358,0.2200443
359,0.15642865
360,0.12243955
361,0.119012386
362,0.11484771
363,0.11579927
364,0.12746957
365,0.13771255
366,0.1565814
367,0.20888862
368,0.25471446
369,0.28748167
370,0.29705167
371,0.29167935
372,0.28057164
373,0.26354855
374,0.2486244
375,0.24209628
376,0.24773662
377,0.2712167
378,0.28689554
379,0.3410519
380,0.29195267
381,0.24798958
382,0.19729583
383,0.14263824
384,0.11357607
385,0.10675995
386,0.11503999
387,0.10920759
388,0.11356517
389,0.12101801
390,0.13076621
391,0.15311772
392,0.2002335
393,0.23996064
394,0.26053312
395,0.26503766
396,0.25443512
397,0.23558304
398,0.22079194
399,0.21308222
400,0.21481514
401,0.22411506
402,0.23161128
403,0.2527211
404,0.27614558
405,0.23786482
406,0.17392969
407,0.11067003
408,0.07954033
409,0.07402391
410,0.07652704
411,0.09006513
412,0.09951804
413,0.145581
414,0.20156822
415,0.26537967
416,0.30570552
417,0.32275128
418,0.32628283
419,0.3214317
420,0.30901504
421,0.29654694
422,0.28104517
423,0.2670239
424,0.2673437
425,0.27365983
426,0.2778101
427,0.2581867
428,0.29799196
429,0.2691506
430,0.2009429
431,0.12950133
432,0.08199887
433,0.064426705
434,0.058767773
435,0.05871004
436,0.071976446
437,0.11006677
438,0.18562855
439,0.26336318
440,0.3111481
441,0.3319896
442,0.3422613
443,0.33275822
444,0.3290173
445,0.31691554
446,0.3122327
447,0.3035407
448,0.30443496
449,0.3221867
450,0.32661355
451,0.3324504
452,0.33155498
453,0.28559208
454,0.22028455
455,0.15308088
456,0.10687983
457,0.08396514
458,0.076804526
459,0.07764299
460,0.09646153
461,0.13947365
462,0.22048004
463,0.29761767
464,0.33990616
465,0.35978273
466,0.36159912
467,0.35448867
468,0.3433584
469,0.3380078
470,0.32724735
471,0.31803104
472,0.31555843
473,0.3172237
474,0.3134551
475,0.3777318
476,0.32665434
477,0.27617016
478,0.2115616
479,0.14589389
480,0.10061965
481,0.0804928
482,0.08511044
483,0.09982844
484,0.123313755
485,0.17411351
486,0.23489958
487,0.2978053
488,0.32914957
489,0.33981913
490,0.34192196
491,0.33527607
492,0.32170308
493,0.31052673
494,0.2936893
495,0.27709258
496,0.2683432
497,0.2731305
498,0.27561146
499,0.2702297
500,0.31407958
501,0.29065692
502,0.22711599
503,0.15852052
504,0.10827031
505,0.08253576
506,0.0743259
507,0.07584429
508,0.088645
509,0.128125
510,0.1898423
511,0.26237273
512,0.30115944
513,0.32270372
514,0.32796782
515,0.31653887
516,0.29195872
517,0.27190375
518,0.25312597
519,0.23965216
520,0.2300638
521,0.22913094
522,0.22861324
523,0.20640406
524,0.2751069
525,0.26045603
526,0.20972428
527,0.14827356
528,0.114157066
529,0.096846886
530,0.08106483
531,0.0793674
532,0.08169353
533,0.1040166
534,0.115831494
535,0.15938732
536,0.21451798
537,0.2694701
538,0.30426848
539,0.31708133
540,0.3105352
541,0.29198542
542,0.27779582
543,0.26069552
544,0.2603423
545,0.26641297
546,0.26794356
547,0.3184455
548,0.2767155
549,0.24245714
550,0.19759785
551,0.15076518
552,0.10943198
553,0.09747358
554,0.09432079
555,0.08929767
556,0.09051169
557,0.098000824
558,0.09862344
559,0.12621936
560,0.1722122
561,0.21984854
562,0.25200433
563,0.25816762
564,0.2432505
565,0.21116471
566,0.18399158
567,0.1592254
568,0.14914079
569,0.15612775
570,0.16910571
571,0.1696378
572,0.22529325
573,0.20392969
574,0.13831045
575,0.085555285
576,0.067828044
577,0.05495362
578,0.05834873
579,0.060993463
580,0.06981686
581,0.10112307
582,0.17621858
583,0.26245636
584,0.30428478
585,0.31341046
586,0.32220876
587,0.32611728
588,0.31760973
589,0.3121329
590,0.29769075
591,0.28921333
592,0.28946957
593,0.29402202
594,0.29347736
595,0.30602288
596,0.32002568
597,0.27688527
598,0.20109594
599,0.12964751
600,0.103885815
601,0.08437596
602,0.08510717
603,0.08051142
