,0
0,0.28450727835297585
1,0.10242925398051739
2,0.1028008870780468
3,0.0983626488596201
4,0.09410823509097099
5,0.09529843553900719
6,0.09853708930313587
7,0.08907128870487213
8,0.09707040339708328
9,0.09203865565359592
10,0.09859589114785194
11,0.09951507672667503
12,0.09283582307398319
13,0.0976316798478365
14,0.08596312254667282
15,0.09029203280806541
16,0.09482164867222309
17,0.08065799716860056
18,0.08939403481781483
19,0.0855266647413373
20,0.08445463515818119
21,0.08312631957232952
22,0.09386775083839893
23,0.08877101168036461
24,0.0821512509137392
25,0.08447687234729528
26,0.08054712880402803
27,0.08249622955918312
28,0.08355234749615192
29,0.07934824749827385
30,0.0775872590020299
31,0.07319527585059404
32,0.07630648650228977
33,0.0747011685743928
34,0.07183369901031256
35,0.0757166538387537
36,0.07304666470736265
37,0.06909737549722195
38,0.07349896896630526
39,0.06673748511821032
40,0.07007384579628706
41,0.0659665148705244
42,0.067273473367095
43,0.06270335521548986
44,0.06472460180521011
45,0.06377161666750908
46,0.0618499917909503
47,0.0605268394574523
48,0.057693084701895714
49,0.058039888739585876
50,0.05595696996897459
51,0.0585935078561306
52,0.05014137830585241
53,0.05539979226887226
54,0.05623538885265589
55,0.051905956119298935
56,0.05485114920884371
57,0.04765383806079626
58,0.05148871894925833
59,0.046916923485696316
60,0.04434251319617033
61,0.045933972112834454
62,0.04537136573344469
63,0.04367499891668558
64,0.04302003514021635
65,0.04208256397396326
66,0.04118842352181673
67,0.04163897130638361
68,0.040232117753475904
69,0.038809717167168856
70,0.03835679776966572
71,0.03901171591132879
72,0.0380570930428803
73,0.036018500570207834
74,0.03669101884588599
75,0.035910834558308125
76,0.03375631617382169
77,0.03270204784348607
78,0.0339437504298985
79,0.03305792761966586
80,0.03476836532354355
81,0.032985926140099764
82,0.033048493321985006
83,0.032983583863824606
84,0.031610371079295874
85,0.03237726166844368
86,0.03160973312333226
87,0.031254748813807964
88,0.029996951576322317
89,0.031521792989224195
90,0.030492862220853567
91,0.03007661597803235
92,0.03004837315529585
93,0.03041560435667634
94,0.03029607515782118
95,0.03009659145027399
96,0.02886059321463108
97,0.02944944379851222
98,0.028807666152715683
99,0.028959854040294886
100,0.02905888482928276
101,0.02856406383216381
102,0.02979394979774952
103,0.02839292399585247
104,0.028259435668587685
105,0.028315258212387562
106,0.02821548143401742
107,0.02805591095238924
108,0.02741089789196849
109,0.02795441821217537
110,0.02758297696709633
111,0.02686895662918687
112,0.027656203135848045
113,0.026813126634806395
114,0.027391424402594566
115,0.027845886070281267
116,0.02711846074089408
117,0.02708564605563879
